"LIMIT_BAL","SEX","EDUCATION","MARRIAGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month","age_group"
20000,1,3,1,1,2,0,0,0,-2,20838,20212,20148,19845,0,0,0,1200,397,0,0,0,"1",50
30000,2,2,1,2,2,2,0,0,2,15361,18274,17697,18416,20099,21631,3175,0,1317,2000,2000,0,"1",20
80000,2,2,2,-1,0,0,0,0,0,45198,45572,40910,40969,41275,41637,2000,2000,1600,1500,1550,1600,"1",20
170000,2,3,2,2,2,2,0,0,0,63977,63630,51986,90196,50464,48282,2550,0,3500,3000,2001,3000,"0",20
80000,2,3,1,0,0,0,0,0,0,44508,43709,52660,48532,44469,45068,1785,10000,1541,1610,1604,1485,"0",40
60000,1,2,2,1,2,0,0,2,2,43356,42381,46663,49877,50734,49764,0,5000,4000,1800,0,2000,"1",20
60000,2,3,2,0,0,0,0,0,0,56793,57455,59295,19212,19232,19218,2342,3057,700,700,682,700,"0",50
160000,2,2,2,1,-2,-2,-1,-1,-2,0,0,0,1690,0,0,0,0,1690,0,0,0,"0",50
1e+05,1,3,2,2,2,0,0,0,0,103540,98205,12605,10437,7920,7350,254,1418,250,306,524,10252.5,"0",30
30000,2,3,1,-2,-2,-2,-2,-2,-2,1535,835,8927,5371,0,1996,835,8939,5480,0,1996,0,"0",30
50000,2,3,1,0,0,0,0,0,0,49930,48261,49027,49564,28609,28302,2300,3000,2503,4743.77725631769,1204,2000,"0",30
150000,2,5,1,0,0,0,0,0,0,152105,137472,118583,95094,50999,35383,6300,4500,2524,2000,2000,5312.60666378191,"0",20
420000,2,2,1,0,0,0,0,0,0,51154.1449567723,68979,57706,55628,54797,52759,3527,3000,4000,2500,2000,2100,"0",30
50000,1,3,1,-1,-1,2,-1,-1,-1,261,1305,1134,1073,1312,51,2305,0,1200,1500,0,0,"0",40
80000,1,1,2,-2,-2,-2,-2,-2,-2,5012,1200,0,1159,0,0,1200,0,1159,0,0,6028,"0",30
360000,1,3,1,-1,-1,-1,-1,0,-1,1351,554,1090,780,390,388,5468.02654356607,1096,780,0,388,887,"0",50
130000,2,3,2,0,0,0,0,0,0,129150,105529,107691,108418,115638,117958,5300,5400,4000,9000,4400,4500,"0",20
220000,2,2,2,0,0,0,0,0,0,32357,30971,31277,23258,4546,6470,2000,1377,8011,165,2000,1000,"0",30
5e+05,1,1,1,0,0,0,0,0,0,160599.125,151902.875,145766.25,132543.5,122749,120258,11165.625,11046.125,10968.125,10039.875,9970.625,7000,"0",30
250000,1,1,1,0,0,0,0,0,0,7351,6225,3645,3090,3700,1190,3039,2000,1000,1000,0,10252.5,"0",40
20000,2,2,1,0,-1,-1,-1,-1,0,1343,1547,1539,1066,18187,18212,1547,1539,1066,10039.875,771,1000,"0",40
120000,2,2,1,0,0,0,0,0,0,89197,87088,85280,83873,78945,80597,3072,3074,2887,2774,2871,3000,"0",50
140000,1,2,2,0,0,0,0,0,0,103884,105697,101636,97298,40261.2898853724,72592,4000,4000,3800,3000,3300,2300,"0",20
30000,2,3,2,0,0,0,0,0,0,27276,26937,26679,43076.4560392044,28691,29726,2000,2500,2000,2000,2000,2000,"1",20
150000,2,3,2,-2,-1,-1,-1,-1,-1,1723,2292,240,683,3486,5390,6876,240,683,3486,5390,1200,"0",20
3e+05,1,1,1,-1,-1,-1,-1,-1,-1,20938,21064,26041,18158,18147,45199,11165.625,11046.125,10968.125,10039.875,9970.625,120,"0",30
4e+05,1,3,1,-1,0,0,0,0,-1,145801,134269,100229,57583,8556,316,6100,11046.125,6600,406,316,316,"0",40
1e+05,2,2,2,0,0,0,0,0,0,92683,84278,86977,89575,91382,93320,3324,3428,3399,2546,2671,2939,"0",30
70000,1,3,1,0,0,0,0,0,0,68725,70413,70004,38102,28931,29143,3220,2220,10968.125,1000,1050,1052,"0",50
360000,1,2,1,-1,-1,-1,0,0,0,6323,6934,17170,11152,6000,0,7001,11046.125,1000,1000,0,10252.5,"0",30
30000,1,2,2,1,-1,0,0,0,0,4873,14891,14860,14260,8864,2578,11165.625,3000,1000,1000,1990,3597,"0",20
150000,1,2,1,0,0,0,0,0,0,118533,119911,123914,126447,122749,120258,3375,5000,3583,3402,7226,5000,"0",20
450000,1,2,2,0,0,0,0,0,0,51686,54224,49606,43803,62914,81529,5468.02654356607,10075,10000,10039.875,9970.625,5200,"0",20
50000,2,1,2,2,2,3,2,0,0,48903,53997,52298,50778,48055,45704,6500,0,0,3130,2532,1700,"1",30
150000,1,1,1,0,0,0,0,0,0,101639,91674,135883,95806,97648,99737,3820,11046.125,3569,3529,3697,5229,"0",50
120000,2,1,2,-1,-1,-1,-1,-1,-1,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,"0",20
90000,2,3,1,-2,-2,-2,-2,-2,-2,1609,686,3904,686,686,686,1372,3904,686,686,686,686,"0",40
20000,1,2,2,1,2,2,2,3,2,15476,16533,15975,17903,17336,16910,1600,0,2500,0,0,2000,"0",40
180000,1,2,2,0,0,0,0,0,0,103956,103230,105945,111065,122028,120258,4100,4400,10000,10039.875,5000,5000,"0",30
20000,1,2,2,2,2,2,2,-2,-2,11736,11180,780,0,0,0,780,0,0,0,0,0,"0",50
30000,2,2,1,-1,3,2,0,-1,3,1742,1560,780,780,2057,1737,0,0,0,2057,0,0,"0",30
70000,1,2,1,0,0,0,0,0,0,93025,95655,66404,31688,17317,6270,3664,2127,618,738,125,0,"0",40
30000,2,3,3,1,2,0,0,0,0,30698,29034,28317,27872,28456,28230,0,1442,986,1021,1015,1143,"1",20
60000,2,2,1,0,0,0,0,0,0,58127,59345,58196,47007,32834,29116,2800,2200,1500,1200,1100,1200,"0",40
50000,1,2,1,1,-1,0,0,0,0,-8,37230,10496,3614,2254,1494,11165.625,1000,0,0,0,0,"1",20
50000,2,2,2,0,0,2,0,0,0,23368,27050,27086,28525,30895,33003,4400,761,2200,2862,2770,2200,"1",30
150000,1,1,1,2,2,2,2,2,2,99855,102586,100064,104975,107147,109428,5200,0,8100,4000,4200,4200,"0",40
150000,2,1,2,-2,-1,-1,-1,-2,-2,2005,2869,16719,8568,797,1158,2876,11046.125,8593,799,1161,10252.5,"0",30
210000,1,2,2,0,0,0,0,0,0,137264,102545,94692,70484,36308,33201,3664,3900,2868,3000,2000,2000,"1",30
80000,1,3,1,-1,-1,-1,-1,-1,-1,1262,1642,1975,672,5112,3932,1642,1975,672,5112,3932,10252.5,"0",60
130000,1,1,2,0,0,0,0,0,0,16757,21481,22389,22535,24236,20246,5000,1598,744,2000,744,3000,"0",30
50000,2,2,1,2,2,2,0,0,2,45159,49125,47956,43578,35126,34420,4700,0,2004,3500,0,1000,"0",30
90000,2,2,1,0,0,0,0,0,0,12822,10944,12255,12192,12448,12895,1188,1499,436,452,654,455,"0",50
180000,1,1,2,0,0,0,-1,-1,-1,24464,25332,11991,4394,200,200,1573,3007,4394,200,200,200,"0",20
10000,2,2,1,0,0,0,0,0,0,4695,5719,6733,7616,7779,8646,1103,1117,1000,286,1000,200,"1",30
50000,2,2,1,0,0,0,0,-1,0,49744,40859,20706,-1166,19133,19127,1500,1206,0,10039.875,697,641,"0",20
450000,2,1,2,2,-1,0,0,0,0,1638,54490,112841,112603,90202,39564,11165.625,11046.125,2000,0,1000,10252.5,"0",30
210000,2,2,1,-1,0,-1,-1,-1,-1,13340,42862,9584,7978,6728,6728,11165.625,9600,7978,6728,6728,6728,"0",40
20000,2,2,3,1,2,2,0,0,0,17624,18342,17750,18102,18485,19175,1300,0,647,674,1000,582,"0",40
3e+05,1,2,1,-2,-2,-2,-2,-2,-2,15876,4347,0,2208,2475,7580,4347,0,2208,2475,7580,0,"0",40
50000,2,3,2,2,-1,-1,2,0,0,1261,1261,2136,1560,1170,780,1261,2136,0,0,0,0,"1",20
280000,1,2,2,-2,-2,-2,-2,-2,-2,1799,1768,1848,-8,1601,-3,1782,1857,0,1609,3,1077,"0",20
130000,2,2,2,0,0,2,0,0,0,9559,12394,11883,9826,10167,12685,3000,0,500,500,2700,500,"1",40
20000,1,2,2,3,2,2,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,"1",20
50000,1,2,2,-1,2,-1,0,0,-1,2809,187,3135,937,-3,894,0,3141,2,0,897,906,"0",20
20000,1,2,2,0,0,0,0,0,2,15110,16548,17443,16216,18027,12364,2000,1500,1500,2000,0,1000,"0",20
180000,2,2,2,1,-2,-1,-1,-2,-2,0,0,1000,0,0,0,0,1000,0,0,0,0,"0",20
220000,2,1,2,-1,-1,-1,-1,-1,-1,3352,3352,3352,3352,3352,3352,3352,3352,3352,3352,3352,3352,"1",20
40000,2,3,2,0,0,0,0,0,-2,26449,22072,19085,17550,0,0,1303,1665,1000,0,0,0,"0",40
2e+05,1,1,2,0,-1,2,2,-1,-1,7464,22182,10373,2669,1024,120258,11165.625,7,0,6177,9970.625,5000,"0",20
70000,1,1,2,0,0,0,0,0,0,47873,52440,55961,63341,64694,67905,6000,5000,10000,3000,5000,3000,"0",30
20000,1,2,2,0,0,3,2,2,-1,15789,21698,21054,20355,19980,3470,6500,0,0,10000,9970.625,177,"0",20
180000,1,2,1,-1,0,0,0,0,0,27679,28422,29650,29981,30419,31127,1481,2000,1100,1200,1500,1500,"1",40
10000,2,3,2,0,-1,2,-1,-1,-2,1473,2095,622,149,-1324,-797,2095,0,1000,0,2000,0,"1",50
60000,2,2,2,0,0,0,0,0,0,28406,28781,29219,29036,29493,29776,1790,1760,5138.90530494406,1500,1367,1000,"0",20
110000,1,2,1,0,0,0,-1,2,2,35283,26000,9000,63853,59308,60576,1500,1500,10968.125,1500,2062,0,"0",30
20000,1,2,1,-1,-1,-1,0,-1,-1,836,390,780,390,390,0,390,780,0,390,0,780,"1",30
40000,2,1,2,0,0,0,2,2,2,20936,20647,21561,18438,20619,17582,3000,4000,0,5000,0,8000,"0",20
170000,2,2,1,0,0,0,0,0,0,160599.125,49028.0215946844,145766.25,132543.5,122749,120258,7620,6200,10000,5100,5500,5000,"1",50
280000,2,2,2,0,0,0,0,0,0,91093,92775,81718,83347,85623,87252,3224,2965,2987,3623,3148,3194,"0",30
2e+05,2,1,2,-2,-2,-2,-2,-2,-2,896,896,670,6220,8536,23040,900,674,6450,8579,9970.625,10252.5,"0",30
90000,2,2,1,-1,0,0,-1,-1,-1,5488,2380,0,1700,1700,0,1000,0,1700,1700,0,1664,"0",30
30000,2,2,2,0,0,2,0,0,0,5293,8107,7738,10179,11902,13109,3000,0,3000,2000,1500,1000,"0",20
80000,2,3,2,0,0,0,0,0,0,88786,86391,84871,81813,45094,38121,3200,4000,3000,4743.77725631769,1500,1300,"0",20
3e+05,2,1,2,0,0,2,-1,-1,-1,15001,12751,2318,3792,11977,29127,2318,0,3792,10039.875,9970.625,10252.5,"1",30
20000,1,1,2,1,-2,-1,0,0,2,0,0,17901,18217,20269,11180,0,11046.125,519,2210,0,0,"0",50
10000,2,2,2,-1,0,0,0,0,-1,7841,7400,6770,5163,3575,390,1157,1000,103,4743.77725631769,400,0,"0",30
30000,2,1,2,1,2,2,2,0,0,17775,18688,21488,20847,21162,21809,1500,3433,0,800,1000,1000,"1",40
50000,1,1,2,0,0,0,0,0,0,18741,12724,13804,15331,15159,10188,1724,1804,2721,1159,1188,733,"0",30
80000,2,3,2,0,0,0,0,0,0,70194,71912,69776,70985,72444,69685,3500,3000,2500,2500,2500,2500,"0",20
1e+05,2,2,2,0,0,0,0,0,2,99259,49028.0215946844,77919,79597,88685,87773,2750,2854,3000,10039.875,600,4254,"0",30
60000,2,2,1,0,0,0,0,0,0,60255,58374,48442,53444,27705,28291,2000,2500,1000,2400,1200,2000,"0",40
190000,2,2,1,-2,-2,-2,-2,-2,-2,2125,3405,2131,2131,2131,0,3411,2131,2131,2131,0,5354,"0",30
20000,1,2,2,3,2,2,2,3,2,16132,16562,19279,20663,20043,19584,1000,3000,2000,0,0,1803,"1",20
30000,2,3,1,1,2,2,2,2,2,12603,13103,13785,13911,13548,14465,1000,1200,646,0,1300,1000,"0",40
3e+05,2,2,1,0,-1,-1,-1,0,0,3565,316,316,17597,15257,9482,316,316,10968.125,2000,2690,2000,"0",30
360000,1,2,1,0,0,0,0,0,0,49792,52399,52950,44625,21906,16190,3444,3053,3122,1030,610,519,"0",30
2e+05,1,2,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,10252.5,"0",30
360000,1,2,1,-1,-1,2,-1,-1,-1,1473,3125,1473,1473,1473,1473,3125,0,1473,1473,1473,1473,"0",40
280000,1,1,1,-1,0,0,0,0,0,33687,21575,23926,23102,22734,29434,5000,3000,10000,10000,9970.625,10234,"0",30
2e+05,1,1,2,-1,-1,-1,0,0,-1,3702,25548,10594,7969,2865,5625,5468.02654356607,10623,25,16,6000,19,"1",30
160000,2,1,1,1,3,2,0,0,0,4529,4269,1170,780,780,0,0,0,0,0,0,0,"1",20
110000,2,2,1,-1,-1,-1,-1,-1,-1,776,776,776,776,926,776,776,776,776,926,776,776,"0",40
20000,2,1,2,0,0,0,0,0,0,5565,6841,7853,8565,9565,12065,1276,1288,1000,1000,2500,1000,"0",20
160000,2,2,2,0,0,0,0,0,0,100613,78592,80240,39835,41150,0,3600,3700,1700,2000,0,0,"0",20
2e+05,2,3,2,0,0,0,0,0,0,69817,71272,76740,67480,68843,70266,2049,5774.39123540435,1839,1862,1918,2149,"0",40
240000,1,1,1,-1,3,2,-1,-1,0,6333,3360,1291,2740,2241,1060,0,10,2740,2241,0,2731,"0",30
3e+05,1,1,1,-1,0,0,0,0,0,105932,100815,103744,103422,111152,110811,5137,11046.125,5006,10014,4016,4013,"0",30
50000,2,3,1,0,0,0,0,0,0,13572,10805,8623,8799,8468,8768,1188,3000,176,169,300,1200,"0",30
220000,1,1,2,3,2,0,0,0,2,160599.125,151902.875,145766.25,132543.5,122749,120258,7500,7100,7203,10039.875,3500,4500,"1",30
160000,2,2,2,0,0,0,-1,-1,0,21898,23075,24010,400,16903,17248,5004,8004,400,10039.875,345,352,"0",20
165962.731341129,2,2,2,0,0,0,0,0,0,25451,24025,21148,17767,2692,-956,3000,1500,1035,54,9970.625,10252.5,"0",20
360000,2,2,1,-1,-1,-1,-1,-1,-1,22237,5683,1632,1632,22379,8901,6695,1632,5138.90530494406,10039.875,8901,4852,"0",40
1e+05,1,1,1,2,2,0,0,0,0,94257,78728,65747,67046,69938,74800,0,3100,3000,4000,6000,0,"1",30
3e+05,2,2,1,0,0,0,0,-2,-2,160599.125,142384,72350,0,0,0,6600,3750,0,0,0,0,"0",30
50000,2,2,2,1,2,0,0,0,0,49487,48282,39490,27835,23391,24507,0,2000,2537,1500,1500,1500,"1",40
1e+05,2,1,2,2,2,2,2,2,2,29668,32463,33350,34003,34647,35348,3600,1700,1500,1500,1400,0,"0",30
260000,2,1,2,-2,-2,-2,-1,0,0,6475,2500,500,210,210,-90,2500,500,210,0,0,0,"0",30
50000,2,1,2,-1,-1,-1,-1,0,-1,1050,1050,974,1224,1224,1025,1050,974,1300,1050,1025,1050,"0",20
80000,2,1,2,0,0,0,0,0,0,69533,71314,73027,74215,75865,77448,3500,3500,3000,3000,3000,3000,"0",30
10000,2,2,2,0,0,0,0,0,0,7888,8987,9604,9800,10000,0,1383,1000,196,200,1000,0,"0",20
340000,1,2,1,0,0,0,0,0,0,63098,64417,65752,69639,80057,83713,2338,2406,5000,10039.875,5000,2971,"1",30
360000,1,1,2,-1,2,-1,0,0,-1,6167,3506,10845,8336,5878,12903,17,10859,380,187,9970.625,1038,"1",20
110000,1,2,2,2,2,2,2,2,2,53016,56532,57502,58460,59876,58761,5000,2500,2500,2500,4747.58493012534,5000,"1",40
5e+05,2,1,2,-1,0,0,0,0,0,160599.125,151902.875,145766.25,132543.5,122749,15233,11165.625,11046.125,10968.125,10039.875,9970.625,0,"0",30
20000,2,2,1,1,2,2,2,0,0,17970,17389,20491,19803,19734,19613,0,3700,0,1000,2000,710,"0",30
60000,2,2,2,2,2,2,0,0,0,41387,42117,41140,42110,42988,43841,1685,0,1655,1707,1718,1775,"0",20
430000,1,3,2,1,-1,-1,-1,-1,-1,-18,6390,8833,9906,14239,9562,6408,8840,9954,10039.875,9584,10252.5,"0",40
170000,2,1,2,-1,0,0,0,0,0,41977,38895,39698,38330,39602,39922,1650,4500,4000,4000,3000,3000,"0",20
70000,2,1,2,0,0,0,0,0,0,46222,47650,48867,47808,43022,44077,2500,2300,2300,2000,1900,3000,"0",20
40000,2,1,2,2,2,2,2,2,2,26487,27255,26532,29089,28522,28914,1500,0,3000,200,1000,1200,"1",20
360000,1,1,2,0,0,0,0,0,0,78398,86955,127146,103273,91933,108163,11165.625,11046.125,10968.125,10039.875,9970.625,10252.5,"0",20
2e+05,1,1,2,0,0,0,0,0,0,151819,151902.875,145766.25,132543.5,122749,120258,6000,5769,5411,5603,6367,4500,"0",30
60000,1,1,2,0,0,0,0,2,0,18996,20806,22447,24337,23808,24610,2120,2000,2269,0,1200,2269,"1",20
230000,2,1,1,0,0,-2,-2,-2,-2,22909,0,0,0,0,0,0,0,0,0,0,0,"0",30
330000,2,1,1,0,0,0,0,0,0,160599.125,151902.875,145766.25,132543.5,40261.2898853724,120258,8903,7903,6418,6633,6852,6910,"0",40
260000,2,2,2,2,2,2,0,0,0,160599.125,151902.875,145766.25,131150,122749,120258,11165.625,27,2914,10039.875,5592,5837,"1",30
140000,1,1,1,2,2,2,2,2,2,64393,65271,66606,64940,73677,75316,2500,3000,0,10000,3000,0,"1",40
90000,1,1,2,0,0,0,2,2,2,56608,57897,63686,65233,66637,67882,2800,7400,3200,2600,2500,2500,"0",30
80000,2,2,2,-1,2,-1,-1,0,-1,3598,2464,7156,2099,915,915,2,7156,2099,0,915,1065,"0",40
50000,1,2,1,0,-1,0,0,0,0,51350,50350,49289,49058,47512,48930,11165.625,1800,1800,1800,2200,1774,"0",60
50000,2,3,1,0,-1,-1,-1,-1,-1,3964,1690,3780,1468,1468,1644,1690,3780,1468,1468,1644,1363,"0",50
230000,1,1,2,-2,-1,-1,-1,-1,-1,5419,3288,806,1467,9192,4388,3306,806,1500,9216,4388,0,"0",40
90000,2,2,2,0,0,0,-2,-1,0,28120,32429,0,0,2522,2575,5000,0,0,2522,94,111,"0",20
50000,2,2,1,0,0,0,0,0,0,47649,49100,50380,19144,17625,17246,2220,2500,644,628,642,1500,"0",40
140000,2,2,2,2,0,0,2,2,2,103181,107446,125702,124182,122749,120258,6000,11046.125,2000,3500,9970.625,6000,"0",30
1e+05,2,2,1,1,2,0,0,0,0,97581,94594,44145,46148,43750,44771,0,2000,3000,2000,2000,2000,"0",40
80000,2,3,1,0,0,0,-1,0,0,80855,78074,38360,60060,59322,59973,2800,2700,10968.125,2312,2800,2800,"0",40
50000,2,1,2,0,-1,0,-1,-1,0,17250,8560,4725,8933,11784,9927,8560,1600,8933,10039.875,199,8287,"0",20
210000,1,1,2,0,0,0,0,0,2,124838,102995,17383,132543.5,122749,120258,5000,1400,10968.125,10039.875,0,6300,"0",30
30000,2,2,1,2,2,0,0,0,0,30082,29315,30369,29787,30284,29057,0,1750,1025,1100,1500,1000,"0",30
260000,2,2,1,0,0,0,0,0,0,160599.125,151902.875,145766.25,132543.5,122749,120258,8017,8117,10968.125,5410,5855,5254,"0",30
50000,2,2,1,0,0,0,0,0,0,10950,5662,6797,7565,9565,11357,1097,1232,1000,2000,2000,4000,"1",40
370000,2,1,2,0,0,0,0,0,0,160599.125,151902.875,145766.25,132543.5,122749,120258,10000,7014,6000,6000,6000,4000,"0",30
20000,1,3,2,1,2,0,0,0,2,17629,17053,17796,18729,19049,17300,0,1325,1258,1373,0,602,"1",40
230000,2,1,2,-1,2,-1,-1,2,-1,907,591,119,699,383,32774,0,1000,1000,0,9970.625,3000,"1",30
330000,2,1,2,0,0,0,0,0,0,43943,41738,37766,37117,30555,13420,5019,1952,2000,814,475,697,"0",30
2e+05,2,1,1,-1,-1,-1,0,0,-1,10529,1936,25483,16767,19941,19665,1940,11046.125,4767,7541,9970.625,5633,"0",40
1e+05,2,2,2,-1,-1,-1,-1,-1,-1,1508,6186,2208,1823,1516,3378,6186,2208,1823,1516,3378,3431,"0",20
280000,1,2,2,0,0,-1,0,0,0,160599.125,26031,145766.25,132543.5,111454,38835.1843188217,7000,11046.125,5003,5002,5000,3000,"0",40
150000,1,1,2,0,0,0,0,-1,-1,110921,64600,58158,24856,704,1899,3000,1500,1000,704,1899,0,"0",30
60000,2,2,2,0,0,0,0,0,0,54216,55313,56127,57149,53721,54703,2000,2100,2000,2100,2000,2153,"0",20
330000,2,1,2,1,-2,-2,-1,2,2,-200,-200,-200,150,150,350,0,0,350,0,200,0,"0",30
80000,1,2,1,2,2,2,2,2,0,35169,39069,38166,40642,39689,41043,4500,0,3427,0,2000,3000,"1",40
140000,2,3,2,0,0,0,0,0,0,142270,144418,143728,125158,93998,91229,5357,5829,6240,3500,3500,4000,"0",50
70000,1,1,2,-2,-2,-2,-2,-2,-2,25856,13737,7716,25732,46671,26516,11165.625,7716,10968.125,10039.875,9970.625,10252.5,"0",30
390000,2,2,2,0,0,0,0,0,0,116720,121588,121854,90634,84353,57677,7000,5000,4000,5000,9970.625,10252.5,"0",20
150000,1,2,1,-2,-2,-2,-2,-2,-1,9248,6831,2902,6468,1883,1519,6871,2918,6506,1893,1527,5330,"0",30
150000,1,3,2,0,0,0,0,0,0,99247,101194,81194,70590,72040,73423,4268,2725,2505,3000,3000,3000,"0",40
180000,2,2,2,1,2,0,0,0,2,77494,75658,76942,80419,90715,37376,0,3100,5000,10039.875,1000,1000,"0",20
240000,2,2,1,0,0,0,-2,-2,-2,56331,13594,0,0,0,0,3004,0,0,0,0,0,"0",30
170000,2,2,2,0,0,0,0,0,0,83074,85834,87003,88753,90624,92455,4100,3500,3200,3300,3334,4000,"0",40
20000,2,2,2,0,0,0,0,0,0,15847,16885,18418,18915,17639,0,1300,1803,1300,1333,0,0,"0",20
5e+05,2,2,2,-2,-2,-2,-2,-2,-2,2140,3919,3572,2749,2140,3109,3919,3763,2749,2140,3109,2140,"0",20
50000,2,3,1,-1,-1,-1,-2,-2,-2,22500,5000,0,0,0,0,5000,0,0,0,0,640,"0",30
130000,1,3,1,-2,-1,-1,-1,-1,-1,957,6214,1625,728,2464,1139,6220,1628,730,2466,1145,650,"0",30
190000,1,3,1,0,-1,-1,-1,2,2,82926,326,176,804,478,952,326,176,954,0,950,0,"0",40
130000,2,3,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"1",30
220000,2,1,2,-1,-1,-1,-1,-1,-1,51154.1449567723,7443,5572,5572,5572,5774,7479,5600,5600,5600,5802,3279,"0",30
260000,1,1,1,0,0,0,0,0,0,160599.125,151902.875,145766.25,132543.5,122749,120258,10621,9948,8914,6986,9970.625,7222,"0",30
30000,2,2,1,0,0,0,0,0,0,38866,29432,33364,30149,27028,29261,2000,4501,2396,4000,3076,1068,"1",50
290000,1,3,1,0,0,0,0,0,0,160599.125,151902.875,145766.25,132543.5,122749,120258,10492,11046.125,8973,6761,6983,5980,"0",60
1e+05,1,2,2,2,0,0,0,0,0,92590,93354,69674,71097,72913,74738,3251,2600,2582,3000,3000,3000,"0",30
1e+05,2,1,2,0,-1,-1,-2,-2,-2,93411,4081,0,0,0,0,11165.625,0,0,0,0,0,"0",20
2e+05,1,1,2,-1,-1,-1,-1,-1,0,1431,1491,1000,9373,122749,120258,1491,1326,9373,10039.875,7000,7000,"0",30
1e+05,2,1,2,0,0,0,0,-1,0,51154.1449567723,9089,13534,16158,6700,7730,5800,6000,4375,6700,3000,0,"0",20
160000,2,2,2,-2,-2,-2,-2,-2,-2,2057,2147,1945,1934,2045,1938,2147,1945,1934,2056,1938,2544,"0",40
240000,2,5,1,2,2,2,2,2,2,160599.125,151902.875,145766.25,132543.5,122749,120258,9000,0,10968.125,9000,8600,0,"0",40
70000,1,2,1,0,0,0,0,0,0,43050,43410,36226,29369,25873,26101,1888,1225,856,6000,1097,604,"0",40
290000,1,2,1,-1,-1,-1,-2,-2,-2,929,1729,0,0,0,0,1732,0,0,0,0,335,"0",50
150000,2,2,1,2,2,2,2,2,2,68571,69845,71434,72365,73377,75052,3000,3300,2700,2800,3000,2800,"1",40
50000,2,2,2,0,0,0,0,0,0,48393,49405,50934,7728,8390,48679,1814,2343,1137,799,9970.625,1943,"1",20
290000,2,2,1,0,0,0,0,-1,0,160599.125,151902.875,145766.25,0,122749,120258,11165.625,11046.125,0,10039.875,9970.625,10252.5,"0",20
50000,2,1,1,0,0,0,-1,0,0,27966,28539,11597,6611,7349,7570,1267,1553,7511,1000,343,1000,"0",30
160000,2,2,2,-1,-1,-1,-1,-1,-1,13849,40862,2239,552,19367,-1,11165.625,2252,553,10039.875,0,649,"0",40
380000,2,3,2,-1,-1,-1,-1,-1,-1,3859,9194,15157,11147,12483,13680,9240,11046.125,10968.125,10039.875,9970.625,10252.5,"0",30
50000,1,1,2,0,0,0,0,0,2,43935,47744,40339,44377,48723,49841,5000,2000,5000,5000,2010,9,"0",30
140000,2,2,1,0,0,0,0,0,0,137692,134899,137477,110865,69217,48018,5202,6405,4819,3091,2477,10252.5,"0",30
2e+05,2,2,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,"0",30
